period,prm_peak_load_MW,prm_annual_energy_MWh,facet_index,solar_coefficient,solar_elcc_MW_per_fraction_of_annual_load,solar_fraction_of_annual_load,solar_elcc_MW,wind_coefficient,wind_elcc_MW_per_fraction_of_annual_load,wind_fraction_of_annual_load,wind_elcc_MW,facet_intercept_MW,facet_elcc_MW,elcc_surface_facet_dual_$
2020,50383.28,241714108.32,1,1.248933,62925.35,0.216702,13636.08,0.347680,17517.28,0.075931,1330.11,0,14966.19,0
2020,50383.28,241714108.32,2,1.337115,67368.27,0.216702,14598.87,0.307998,15517.97,0.075931,1178.30,0,15777.17,0
2020,50383.28,241714108.32,3,1.337115,67368.27,0.216702,14598.87,0.261540,13177.22,0.075931,1000.57,234.07,15833.51,0
2020,50383.28,241714108.32,4,1.380211,69539.58,0.216702,15069.40,0.242146,12200.13,0.075931,926.37,331.78,16327.55,0
2020,50383.28,241714108.32,5,0.973241,49035.07,0.216702,10626.02,0.410038,20659.05,0.075931,1568.67,625.06,12819.75,0
2020,50383.28,241714108.32,6,1.111813,56016.77,0.216702,12138.97,0.347680,17517.28,0.075931,1330.11,310.89,13779.97,0
2020,50383.28,241714108.32,7,1.111813,56016.77,0.216702,12138.97,0.284774,14347.86,0.075931,1089.45,627.83,13856.25,0
2020,50383.28,241714108.32,8,1.163445,58618.19,0.216702,12702.71,0.261540,13177.22,0.075931,1000.57,627.83,14331.10,0
2020,50383.28,241714108.32,9,0.512067,25799.61,0.216702,5590.84,0.471368,23749.07,0.075931,1803.30,2716.25,10110.39,0
2020,50383.28,241714108.32,10,0.648356,32666.32,0.216702,7078.87,0.410038,20659.05,0.075931,1568.67,2098.25,10745.79,0
2020,50383.28,241714108.32,11,0.648356,32666.32,0.216702,7078.87,0.318856,16064.99,0.075931,1219.84,2557.66,10856.37,0
2020,50383.28,241714108.32,12,0.724093,36482.17,0.216702,7905.78,0.284774,14347.86,0.075931,1089.45,2385.94,11381.17,0
2020,50383.28,241714108.32,13,0.146671,7389.77,0.216702,1601.38,0.509186,25654.47,0.075931,1947.98,5201.58,8750.94,0
2020,50383.28,241714108.32,14,0.230711,11624.00,0.216702,2518.95,0.471368,23749.07,0.075931,1803.30,4629.96,8952.21,0
2020,50383.28,241714108.32,15,0.230711,11624.00,0.216702,2518.95,0.336967,16977.51,0.075931,1289.13,5307.12,9115.19,0
2020,50383.28,241714108.32,16,0.270959,13651.81,0.216702,2958.38,0.318856,16064.99,0.075931,1219.84,5124.61,9302.83,0
2020,50383.28,241714108.32,17,0.063958,3222.44,0.216702,698.31,0.516611,26028.54,0.075931,1976.38,5951.70,8626.40,-247853.78
2020,50383.28,241714108.32,18,0.080457,4053.70,0.216702,878.45,0.509186,25654.47,0.075931,1947.98,5802.07,8628.50,0
2020,50383.28,241714108.32,19,0.080457,4053.70,0.216702,878.45,0.339527,17106.47,0.075931,1298.92,6656.87,8834.24,0
2020,50383.28,241714108.32,20,0.086145,4340.29,0.216702,940.55,0.336967,16977.51,0.075931,1289.13,6618.19,8847.86,0
2020,50383.28,241714108.32,21,0.034771,1751.86,0.216702,379.63,0.519642,26181.27,0.075931,1987.98,6282.58,8650.20,0
2020,50383.28,241714108.32,22,0.041507,2091.26,0.216702,453.18,0.516611,26028.54,0.075931,1976.38,6206.22,8635.78,0
2020,50383.28,241714108.32,23,0.041507,2091.26,0.216702,453.18,0.339969,17128.74,0.075931,1300.61,7096.20,8849.99,0
2020,50383.28,241714108.32,24,0.042489,2140.75,0.216702,463.91,0.339527,17106.47,0.075931,1298.92,7087.29,8850.11,0
2022,51750.56,246344010.01,1,1.248933,64632.99,0.359989,23267.16,0.347680,17992.65,0.122879,2210.91,0,25478.07,0
2022,51750.56,246344010.01,2,1.337115,69196.48,0.359989,24909.96,0.307998,15939.09,0.122879,1958.57,0,26868.53,0
2022,51750.56,246344010.01,3,1.337115,69196.48,0.359989,24909.96,0.261540,13534.82,0.122879,1663.14,240.43,26813.53,0
2022,51750.56,246344010.01,4,1.380211,71426.71,0.359989,25712.82,0.242146,12531.22,0.122879,1539.82,340.79,27593.42,0
